slug,title,classification,displayTitle,subtitle,convertibility,pattern,tag,publishedAt,updatedAt,description,articleType,serviceLinked,serviceIds,seoTitleKeep,notes
24h-gym-comparison,24時間ジム4社を比較｜FIT-EASY・エニタイム・chocoZAP・FIT PLACE24どれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,24時間ジム4社を比較,FIT-EASY・エニタイム・chocoZAP・FIT PLACE24どれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,24時間ジム,2026-08-22,2026-08-22,FIT-EASY、エニタイムフィットネス、chocoZAP、FIT PLACE24を、料金、設備、相互利用、サウナ、本格筋トレ、契約条件、向いている人で比較します。,service_comparison,あり,,可,
280blocker-review,280blockerは買う価値ある？料金・使い方・広告ブロックの仕組みを解説【2026年版】,A. 単体サービス紹介,280blocker,は買う価値ある？料金・使い方・広告ブロックの仕組みを解説【2026年版】,ほぼ自動変換可能,Aは〜,アプリ,2026-08-18,2026-08-18,280blockerは買う価値がある？800円の買い切り料金、Safari・DNS広告ブロック、プレミアム、使い方、できないこと、評判まで2026年最新情報をもとに解説します。,service_review,あり,SRV-000027-280blocker,可,
2ndstreet-delivery-buyback-review,セカンドストリート宅配買取とは？送料・キャンセル・返送料・入金を解説【2026年版】,A. 単体サービス紹介,セカンドストリート宅配買取,送料・キャンセル・返送料・入金を解説【2026年版】,自動変換可能,Aとは？〜,中古・買取,2026-08-22,2026-08-22,セカンドストリート宅配買取の送料・手数料無料、1点査定、一部キャンセル、通常返送料無料、承認後3営業日以内の振込を整理します。,service_review,あり,,可,
across-calendar,Across Calendarとは？無料版とPremiumの違い・料金・使い方をわかりやすく解説,A. 単体サービス紹介,Acrossカレンダー,Across Calendarとは？無料版とPremiumの違い・料金・使い方をわかりやすく解説,自動変換可能,Aとは？〜,アプリ,2026-08-22,2026-08-23,"Across: Calendar, Your Wayは、Appleカレンダー・リマインダー・Googleカレンダーの予定をまとめて見やすくし、自分好みに表示方法を作り込めるカレンダーアプリです。",service_review,あり,,可,
ada-ai-review,Adaとは？AIカスタマーサービスの仕組み・料金・どんな企業に向いているかを解説,A. 単体サービス紹介,Ada,AIカスタマーサービスの仕組み・料金・どんな企業に向いているかを解説,自動変換可能,Aとは？〜,AIカスタマーサポート,2026-08-23,2026-08-24,Adaは、企業のカスタマーサービスをAIエージェントで自動化するためのエンタープライズ向けプラットフォームです。,service_review,あり,,可,
adguard-pro-review,AdGuard Proとは？使い方・料金・通常版との違いをわかりやすく解説,A. 単体サービス紹介,AdGuard Pro,使い方・料金・通常版との違いをわかりやすく解説,自動変換可能,Aとは？〜,アプリ,2026-08-21,2026-08-23,AdGuard Proは、iPhone・iPad向けの広告ブロックとDNS保護をまとめた買い切りアプリです。Safariの広告を消すだけでなく、DNSフィルタを使って他のアプリやブラウザの通信も制御でき、トラッカーや特定ドメインをブロックできます。,service_review,あり,,可,
aeon-net-super-review,イオンネットスーパーとは？配送料・WAON POINT・置き楽・配送エリアを解説【2026年版】,A. 単体サービス紹介,イオンネットスーパー,配送料・WAON POINT・置き楽・配送エリアを解説【2026年版】,自動変換可能,Aとは？〜,ネットスーパー,2026-08-22,2026-08-22,イオンネットスーパーの店舗別配送料、全国の配送エリア、WAON POINT、置き楽、即日配送、商品点数、店舗受取まで2026年公式情報で整理します。,service_review,あり,,可,
aeon-pay-review,AEON Payとは？WAON POINT・イオンカード・WAONタッチ・チャージ払いを解説【2026年版】,A. 単体サービス紹介,AEON Pay,WAON POINT・イオンカード・WAONタッチ・チャージ払いを解説【2026年版】,自動変換可能,Aとは？〜,スマホ決済,2026-08-22,2026-08-22,AEON Payのイオンカード払い、チャージ払い、WAONタッチ、WAON POINT、イオングループでのポイント、iAEONとの関係を2026年公式情報で整理します。,service_review,あり,,可,
agoda-review,Agoda（アゴダ）の評判・口コミは？安い理由とメリット・デメリット、予約前の注意点,A. 単体サービス紹介,Agoda 評判,Agoda（アゴダ）の評判・口コミは？安い理由とメリット・デメリット、予約前の注意点,ほぼ自動変換可能,Aは〜,旅行,2026-08-15,2026-08-15,Agoda（アゴダ）の評判・口コミ、安い理由、メリット・デメリット、予約前の注意点を公式情報・オリコン・Trustpilotをもとに整理します。,service_review,あり,SRV-000010-agoda,要確認,
ahamo-review,ahamoとは？料金・使い方とドコモの他プランとの違いを解説,A. 単体サービス紹介,ahamo,料金・使い方とドコモの他プランとの違いを解説,自動変換可能,Aとは？〜,スマホキャリア,2026-08-22,2026-08-25,ahamoは、NTTドコモが提供するスマートフォン向けの料金プランです。,service_review,あり,,可,
ahamo-vs-povo,ahamoとpovoを比較｜30GB料金・通話・海外・トッピングはどっち？【2026年版】,B. 2サービス比較,ahamo vs povo,"ahamo30GB2,970円とpovo30GB30日2,780円等を、5分通話、海外、トッピング、回線、管理の手間で比較します。",ほぼ自動変換可能,AとBを比較,スマホキャリア,2026-08-22,2026-08-22,"ahamo30GB2,970円とpovo30GB30日2,780円等を、5分通話、海外、トッピング、回線、管理の手間で比較します。",service_comparison,あり,,可,
ai-app-builder-comparison,AIアプリ開発4サービスを比較｜Lovable・Replit Agent・Bolt.new・Base44どれがおすすめ？,C. 複数サービス比較 / おすすめ / 選び方,AIアプリ開発4サービスを比較,Lovable・Replit Agent・Bolt.new・Base44どれがおすすめ？,人間確認推奨,Nサービスを比較,AIアプリ開発,2026-08-22,2026-08-22,Lovable、Replit Agent 4、Bolt.new、Base44を自然言語開発、バックエンド、コード、デザイン、デプロイ、対象ユーザーで比較します。,service_comparison,あり,,可,
ai-browser-comparison,AIブラウザ4サービスを比較｜Comet・Dia・Gemini in Chrome・Firefox Smart Windowどれがおすすめ？,C. 複数サービス比較 / おすすめ / 選び方,AIブラウザ4サービスを比較,Comet・Dia・Gemini in Chrome・Firefox Smart Windowどれがおすすめ？,人間確認推奨,Nサービスを比較,AIブラウザ,2026-08-22,2026-08-22,Comet、Dia、Gemini in Chrome、Firefox Smart Windowを検索、タブ、履歴、モデル、プライバシー、Google連携で比較します。,service_comparison,あり,,可,
