slug,oldTitle,displayTitle,subtitle,classification,conversionStatus,notes
"ahamo-vs-povo","ahamoとpovoを比較｜30GB料金・通話・海外・トッピングはどっち？【2026年版】","ahamoとpovoを比較","30GB料金・通話・海外利用・トッピングの違いを比較","B. 2サービス比較","移行済み",""
"chatgpt-shopping-assistant-review","ChatGPTショッピングアシスタントとは？商品の探し方・比較・購入まで何ができるかを解説","","","B. 2サービス比較","Phase 3へ移動候補","監査上は2サービス比較だが、実体はChatGPTショッピングアシスタント単体紹介のため未移行"
"chatgpt-vs-gemini-deep-research","ChatGPT deep researchとGemini Deep Researchを比較｜ソース・Google連携・使い分け【2026年版】","ChatGPT deep researchとGemini Deep Researchを比較","ソース・Google連携・ファイル調査・使い分けを比較","B. 2サービス比較","移行済み",""
"chatgpt-vs-rakuten-ai-shopping","ChatGPTショッピングとRakuten AIを比較｜Web横断と楽天市場内、どっちが買い物に向く？【2026年版】","ChatGPTショッピングとRakuten AIを比較","Web横断と楽天市場内の商品探し・比較・購入導線の違いを比較","B. 2サービス比較","移行済み",""
"codex-vs-claude-code","CodexとClaude Codeを比較｜デスクトップ・CLI・クラウド・長時間開発はどっち？【2026年版】","CodexとClaude Codeを比較","デスクトップ・CLI・クラウド・長時間開発の違いを比較","B. 2サービス比較","移行済み",""
"comet-vs-gemini-in-chrome","CometとGemini in Chromeを比較｜AI検索・タブ・履歴・Google連携はどっち？【2026年版】","CometとGemini in Chromeを比較","AI検索・タブ・履歴・Google連携の違いを比較","B. 2サービス比較","移行済み",""
"disney-plus-vs-unext","Disney+とU-NEXTはどっちがいい？料金・作品・使い方の違いを比較","Disney+とU-NEXTを比較","料金・作品ジャンル・使い方の違いを比較","B. 2サービス比較","移行済み",""
"docomo-vs-softbank-hikari","ドコモ光とSoftBank 光を比較｜1ギガ料金・スマホ割・工事・解約はどっち？【2026年版】","ドコモ光とSoftBank 光を比較","1ギガ料金・スマホ割・工事費・契約条件の違いを比較","B. 2サービス比較","移行済み",""
"fanza-vs-h-next","FANZA vs H-NEXT｜成人向け見放題はどっちがいい？料金・作品数・使い方の違いを比較【2026年版】","FANZAとH-NEXTを比較","成人向け見放題の料金・作品数・使い方の違いを比較","B. 2サービス比較","移行済み",""
"hikkoshi-zamurai-review","引越し侍とは？一括見積もりとネット比較の違い・電話連絡の注意点まで解説","","","B. 2サービス比較","Phase 3へ移動候補","監査上は2サービス比較だが、実体は引越し侍単体紹介のため未移行"
