slug,oldTitle,phase3Type,displayTitle,subtitle,conversionStatus,notes
"24h-gym-comparison","24時間ジム4社を比較｜FIT-EASY・エニタイム・chocoZAP・FIT PLACE24どれがおすすめ？【2026年版】","複数サービス比較型","24時間ジム4社を比較","料金・設備・相互利用・サウナの違いから選び方を比較","移行済み",""
"ai-app-builder-comparison","AIアプリ開発4サービスを比較｜Lovable・Replit Agent・Bolt.new・Base44どれがおすすめ？","複数サービス比較型","AIアプリ開発4サービスを比較","自然言語開発・バックエンド・コード・デザインの違いを比較","移行済み",""
"ai-browser-comparison","AIブラウザ4サービスを比較｜Comet・Dia・Gemini in Chrome・Firefox Smart Windowどれがおすすめ？","複数サービス比較型","AIブラウザ4サービスを比較","検索・タブ・履歴・モデル連携の違いを比較","移行済み",""
"ai-coding-agent-comparison","AIコーディングエージェント4サービスを比較｜Codex・Claude Code・Cursor・Devinどれがおすすめ？","複数サービス比較型","AIコーディングエージェント4サービスを比較","IDE・CLI・クラウド・自動テストの違いを比較","移行済み",""
"ai-customer-support-comparison","AIカスタマーサポート4サービスを比較｜Sierra・Decagon・Intercom Fin・Adaどれがおすすめ？","複数サービス比較型","AIカスタマーサポート4サービスを比較","成果課金・オムニチャネル・多言語・自己改善の違いを比較","移行済み",""
"ai-meeting-minutes-tools","AI議事録ツールおすすめ5選を比較｜無料で使えるサービスと選び方【2026年版】","おすすめ / N選型","AI議事録ツールおすすめ5選","料金・文字起こし・AI要約・対応環境から選び方を比較","移行済み",""
"ai-research-comparison","AIリサーチ4サービスを比較｜ChatGPT・Gemini・Perplexity・Claudeどれがおすすめ？【2026年版】","複数サービス比較型","AIリサーチ4サービスを比較","ソース・連携・調査深度・使い分けを比較","移行済み",""
"ai-shopping-comparison","AIショッピング4サービスを比較｜ChatGPT・Rakuten AI・Yahoo!・Googleどれが便利？【2026年版】","複数サービス比較型","AIショッピング4サービスを比較","商品探索・比較・購入導線・データ連携の違いを比較","移行済み",""
"ai-video-generator-comparison","動画生成AIサービス6社を比較｜Runway・Kling・Veo・Pika・Hailuo・Lumaどれがおすすめ？【2026年版】","複数サービス比較型","動画生成AIサービス6社を比較","料金・無料枠・動画品質・商用利用の違いを比較","移行済み",""
"ai-voice-agent-comparison","AI音声エージェント4サービスを比較｜Vapi・Retell AI・Bland AI・ElevenAgentsどれがおすすめ？","複数サービス比較型","AI音声エージェント4サービスを比較","料金構造・音声品質・同時通話・運用機能の違いを比較","移行済み",""
